cas	phenotype	source	concentration	duration	phenotype_label	phenotype_CURIE	chem_label	chem_curie
203-64-5	Length alteration	Biobide	AC50	4dpf	whole organism length, abnormal	ZP_0012799	4H-Cyclopenta(def)phenanthrene	Q27290553
85-01-8	Length alteration	Biobide	AC50	4dpf	whole organism length, abnormal	ZP_0012799	Phenanthrene	http://purl.obolibrary.org/obo/CHEBI_28851
83-32-9	Length alteration	Biobide	AC50	4dpf	whole organism length, abnormal	ZP_0012799	Acenaphthene	http://purl.obolibrary.org/obo/CHEBI_22154
1746-01-6	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	2,3,7,8-Tetrachlorodibenzo-p-dioxin	http://purl.obolibrary.org/obo/CHEBI_28119
56-35-9	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Bis(tributyltin)oxide	http://purl.obolibrary.org/obo/CHEBI_81543
2001-95-8	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Valinomycin	http://purl.obolibrary.org/obo/CHEBI_28545
52918-63-5	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Deltamethrin	http://purl.obolibrary.org/obo/CHEBI_4388
83-79-4	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
97-77-8	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Disulfiram	http://purl.obolibrary.org/obo/CHEBI_4659
115-09-3	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Methylmercuric(II) chloride	http://purl.obolibrary.org/obo/CHEBI_28216
70-30-4	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
79-94-7	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
50-29-3	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Dichlorodiphenyltrichloroethane	http://purl.obolibrary.org/obo/CHEBI_16130
55406-53-6	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	3-Iodo-2-propynyl-N-butylcarbamate	http://purl.obolibrary.org/obo/CHEBI_83279
115-86-6	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Triphenyl phosphate	http://purl.obolibrary.org/obo/CHEBI_35033
52645-53-1	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Permethrin	http://purl.obolibrary.org/obo/CHEBI_34911
56-53-1	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
2465-27-2	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
68937-41-7	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Triphenyl phosphates isopropylated	Q27137290
2921-88-2	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Chlorpyrifos	http://purl.obolibrary.org/obo/CHEBI_34631
56803-37-3	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	tert-Butylphenyl diphenyl phosphate	
860302-33-6	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Firemaster 550	
56-38-2	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Parathion	http://purl.obolibrary.org/obo/CHEBI_27928
50-28-2	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
1478-61-1	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Bisphenol AF	http://purl.obolibrary.org/obo/CHEBI_72754
203-64-5	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	4H-Cyclopenta(def)phenanthrene	Q27290553
439-14-5	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Diazepam	http://purl.obolibrary.org/obo/CHEBI_49575
85-01-8	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Phenanthrene	http://purl.obolibrary.org/obo/CHEBI_28851
76-44-8	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Heptachlor	http://purl.obolibrary.org/obo/CHEBI_34785
58-89-9	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Lindane	http://purl.obolibrary.org/obo/CHEBI_32888
6080-56-4	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Lead(II) acetate trihydrate	http://purl.obolibrary.org/obo/CHEBI_33112
86-73-7	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Fluorene	http://purl.obolibrary.org/obo/CHEBI_28266
208-96-8	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Acenaphthylene	http://purl.obolibrary.org/obo/CHEBI_33081
83-32-9	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Acenaphthene	http://purl.obolibrary.org/obo/CHEBI_22154
1330-78-5	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Tris(methylphenyl) phosphate	Q411317
63-25-2	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Carbaryl	http://purl.obolibrary.org/obo/CHEBI_3390
116-06-3	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Aldicarb	http://purl.obolibrary.org/obo/CHEBI_2555
5436-43-1	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	2,2'4,4'-Tetrabromodiphenyl ether	http://purl.obolibrary.org/obo/CHEBI_81584
129-00-0	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Pyrene	http://purl.obolibrary.org/obo/CHEBI_39106
107534-96-3	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Tebuconazole	http://purl.obolibrary.org/obo/CHEBI_81781
56-55-3	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Benz(a)anthracene	http://purl.obolibrary.org/obo/CHEBI_51348
133-06-2	Curved/curled	Biobide	AC50	4dpf	axis curved, abnormal	ZP_0005012	Captan	http://purl.obolibrary.org/obo/CHEBI_34608
97-77-8	Notochord morphology	Biobide	AC50	4dpf	notochord morphology, abnormal	ZP_0000624	Disulfiram	http://purl.obolibrary.org/obo/CHEBI_4659
2001-95-8	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf	caudal fin physical object quality, abnormal	ZP_0010405	Valinomycin	http://purl.obolibrary.org/obo/CHEBI_28545
83-79-4	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf	caudal fin physical object quality, abnormal	ZP_0010405	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
70-30-4	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf	caudal fin physical object quality, abnormal	ZP_0010405	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
207-08-9	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf	caudal fin physical object quality, abnormal	ZP_0010405	Benzo(k)fluoranthene	http://purl.obolibrary.org/obo/CHEBI_34569
55406-53-6	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf	caudal fin physical object quality, abnormal	ZP_0010405	3-Iodo-2-propynyl-N-butylcarbamate	http://purl.obolibrary.org/obo/CHEBI_83279
1478-61-1	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf	caudal fin physical object quality, abnormal	ZP_0010405	Bisphenol AF	http://purl.obolibrary.org/obo/CHEBI_72754
439-14-5	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf	caudal fin physical object quality, abnormal	ZP_0010405	Diazepam	http://purl.obolibrary.org/obo/CHEBI_49575
53-70-3	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf	caudal fin physical object quality, abnormal	ZP_0010405	Dibenz(a,h)anthracene	http://purl.obolibrary.org/obo/CHEBI_35299
80-05-7	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf	caudal fin physical object quality, abnormal	ZP_0010405	Bisphenol A	http://purl.obolibrary.org/obo/CHEBI_33216
133-06-2	Malformation of the tail (including tail fins)	Biobide	AC50	4dpf	caudal fin physical object quality, abnormal	ZP_0010405	Captan	http://purl.obolibrary.org/obo/CHEBI_34608
1746-01-6	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	2,3,7,8-Tetrachlorodibenzo-p-dioxin	http://purl.obolibrary.org/obo/CHEBI_28119
56-35-9	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Bis(tributyltin)oxide	http://purl.obolibrary.org/obo/CHEBI_81543
2001-95-8	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Valinomycin	http://purl.obolibrary.org/obo/CHEBI_28545
52918-63-5	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Deltamethrin	http://purl.obolibrary.org/obo/CHEBI_4388
83-79-4	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
70-30-4	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
115-09-3	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Methylmercuric(II) chloride	http://purl.obolibrary.org/obo/CHEBI_28216
79-94-7	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
55406-53-6	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	3-Iodo-2-propynyl-N-butylcarbamate	http://purl.obolibrary.org/obo/CHEBI_83279
56-53-1	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
2465-27-2	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
68937-41-7	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Triphenyl phosphates isopropylated	Q27137290
1478-61-1	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Bisphenol AF	http://purl.obolibrary.org/obo/CHEBI_72754
115-86-6	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Triphenyl phosphate	http://purl.obolibrary.org/obo/CHEBI_35033
50-29-3	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Dichlorodiphenyltrichloroethane	http://purl.obolibrary.org/obo/CHEBI_16130
1330-78-5	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Tris(methylphenyl) phosphate	Q411317
1241-94-7	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	2-Ethylhexyl diphenyl phosphate	Q27259513
2921-88-2	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Chlorpyrifos	http://purl.obolibrary.org/obo/CHEBI_34631
56-38-2	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Parathion	http://purl.obolibrary.org/obo/CHEBI_27928
50-28-2	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
439-14-5	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Diazepam	http://purl.obolibrary.org/obo/CHEBI_49575
56803-37-3	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	tert-Butylphenyl diphenyl phosphate	
203-64-5	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	4H-Cyclopenta(def)phenanthrene	Q27290553
860302-33-6	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Firemaster 550	
208-96-8	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Acenaphthylene	http://purl.obolibrary.org/obo/CHEBI_33081
56-55-3	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Benz(a)anthracene	http://purl.obolibrary.org/obo/CHEBI_51348
76-44-8	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Heptachlor	http://purl.obolibrary.org/obo/CHEBI_34785
85-01-8	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Phenanthrene	http://purl.obolibrary.org/obo/CHEBI_28851
60-57-1	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Dieldrin	http://purl.obolibrary.org/obo/CHEBI_34696
107534-96-3	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Tebuconazole	http://purl.obolibrary.org/obo/CHEBI_81781
83-32-9	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Acenaphthene	http://purl.obolibrary.org/obo/CHEBI_22154
86-73-7	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Fluorene	http://purl.obolibrary.org/obo/CHEBI_28266
58-89-9	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Lindane	http://purl.obolibrary.org/obo/CHEBI_32888
80-05-7	Yolk edema	Biobide	AC50	4dpf	yolk edematous, abnormal	ZP_0002060	Bisphenol A	http://purl.obolibrary.org/obo/CHEBI_33216
1746-01-6	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	2,3,7,8-Tetrachlorodibenzo-p-dioxin	http://purl.obolibrary.org/obo/CHEBI_28119
56-35-9	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Bis(tributyltin)oxide	http://purl.obolibrary.org/obo/CHEBI_81543
52918-63-5	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Deltamethrin	http://purl.obolibrary.org/obo/CHEBI_4388
2001-95-8	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Valinomycin	http://purl.obolibrary.org/obo/CHEBI_28545
83-79-4	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
115-09-3	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Methylmercuric(II) chloride	http://purl.obolibrary.org/obo/CHEBI_28216
70-30-4	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
60-57-1	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Dieldrin	http://purl.obolibrary.org/obo/CHEBI_34696
79-94-7	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
97-77-8	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Disulfiram	http://purl.obolibrary.org/obo/CHEBI_4659
50-29-3	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Dichlorodiphenyltrichloroethane	http://purl.obolibrary.org/obo/CHEBI_16130
52645-53-1	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Permethrin	http://purl.obolibrary.org/obo/CHEBI_34911
55406-53-6	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	3-Iodo-2-propynyl-N-butylcarbamate	http://purl.obolibrary.org/obo/CHEBI_83279
2921-88-2	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Chlorpyrifos	http://purl.obolibrary.org/obo/CHEBI_34631
56-53-1	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
1478-61-1	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Bisphenol AF	http://purl.obolibrary.org/obo/CHEBI_72754
2465-27-2	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
115-86-6	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Triphenyl phosphate	http://purl.obolibrary.org/obo/CHEBI_35033
68937-41-7	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Triphenyl phosphates isopropylated	Q27137290
76-44-8	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Heptachlor	http://purl.obolibrary.org/obo/CHEBI_34785
1330-78-5	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Tris(methylphenyl) phosphate	Q411317
50-28-2	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
56803-37-3	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	tert-Butylphenyl diphenyl phosphate	
1241-94-7	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	2-Ethylhexyl diphenyl phosphate	Q27259513
439-14-5	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Diazepam	http://purl.obolibrary.org/obo/CHEBI_49575
56-38-2	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Parathion	http://purl.obolibrary.org/obo/CHEBI_27928
107534-96-3	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Tebuconazole	http://purl.obolibrary.org/obo/CHEBI_81781
85-01-8	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Phenanthrene	http://purl.obolibrary.org/obo/CHEBI_28851
208-96-8	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Acenaphthylene	http://purl.obolibrary.org/obo/CHEBI_33081
203-64-5	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	4H-Cyclopenta(def)phenanthrene	Q27290553
860302-33-6	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Firemaster 550	
63-25-2	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Carbaryl	http://purl.obolibrary.org/obo/CHEBI_3390
58-89-9	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Lindane	http://purl.obolibrary.org/obo/CHEBI_32888
83-32-9	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Acenaphthene	http://purl.obolibrary.org/obo/CHEBI_22154
56-55-3	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Benz(a)anthracene	http://purl.obolibrary.org/obo/CHEBI_51348
86-73-7	Yolk opacity	Biobide	AC50	4dpf	yolk opaque, abnormal	ZP_0002198	Fluorene	http://purl.obolibrary.org/obo/CHEBI_28266
85-01-8	Somite morphology	Biobide	AC50	4dpf	somite quality, abnormal	ZP_0000011	Phenanthrene	http://purl.obolibrary.org/obo/CHEBI_28851
207-08-9	Other effects	Biobide	AC50	4dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Benzo(k)fluoranthene	http://purl.obolibrary.org/obo/CHEBI_34569
83-79-4	Other effects	Biobide	AC50	4dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
129-00-0	Other effects	Biobide	AC50	4dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Pyrene	http://purl.obolibrary.org/obo/CHEBI_39106
53-70-3	Other effects	Biobide	AC50	4dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Dibenz(a,h)anthracene	http://purl.obolibrary.org/obo/CHEBI_35299
52645-53-1	Other effects	Biobide	AC50	4dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Permethrin	http://purl.obolibrary.org/obo/CHEBI_34911
50-29-3	Other effects	Biobide	AC50	4dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Dichlorodiphenyltrichloroethane	http://purl.obolibrary.org/obo/CHEBI_16130
50-28-2	Other effects	Biobide	AC50	4dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
56-38-2	Other effects	Biobide	AC50	4dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Parathion	http://purl.obolibrary.org/obo/CHEBI_27928
133-06-2	Other effects	Biobide	AC50	4dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Captan	http://purl.obolibrary.org/obo/CHEBI_34608
1746-01-6	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	2,3,7,8-Tetrachlorodibenzo-p-dioxin	http://purl.obolibrary.org/obo/CHEBI_28119
83-79-4	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
97-77-8	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Disulfiram	http://purl.obolibrary.org/obo/CHEBI_4659
70-30-4	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
56-53-1	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
115-09-3	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Methylmercuric(II) chloride	http://purl.obolibrary.org/obo/CHEBI_28216
1478-61-1	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Bisphenol AF	http://purl.obolibrary.org/obo/CHEBI_72754
50-28-2	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
439-14-5	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Diazepam	http://purl.obolibrary.org/obo/CHEBI_49575
1241-94-7	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	2-Ethylhexyl diphenyl phosphate	Q27259513
80-05-7	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Bisphenol A	http://purl.obolibrary.org/obo/CHEBI_33216
56-38-2	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Parathion	http://purl.obolibrary.org/obo/CHEBI_27928
107534-96-3	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Tebuconazole	http://purl.obolibrary.org/obo/CHEBI_81781
860302-33-6	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Firemaster 550	
208-96-8	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Acenaphthylene	http://purl.obolibrary.org/obo/CHEBI_33081
58-89-9	Hatching	Biobide	AC50	4dpf	hatching delayed, abnormal	ZP_0003211	Lindane	http://purl.obolibrary.org/obo/CHEBI_32888
83-79-4	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
97-77-8	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	Disulfiram	http://purl.obolibrary.org/obo/CHEBI_4659
79-94-7	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
115-09-3	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	Methylmercuric(II) chloride	http://purl.obolibrary.org/obo/CHEBI_28216
56-53-1	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
115-86-6	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	Triphenyl phosphate	http://purl.obolibrary.org/obo/CHEBI_35033
68937-41-7	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	Triphenyl phosphates isopropylated	Q27137290
1478-61-1	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	Bisphenol AF	http://purl.obolibrary.org/obo/CHEBI_72754
56803-37-3	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	tert-Butylphenyl diphenyl phosphate	
1241-94-7	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	2-Ethylhexyl diphenyl phosphate	Q27259513
860302-33-6	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	Firemaster 550	
439-14-5	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	Diazepam	http://purl.obolibrary.org/obo/CHEBI_49575
1330-78-5	Necrotic tissues	Biobide	AC50	4dpf	whole organism necrotic, abnormal	ZP_0000398	Tris(methylphenyl) phosphate	Q411317
1746-01-6	Mortality	Biobide	LEL	4dpf	death stage	UBERON_0000071	2,3,7,8-Tetrachlorodibenzo-p-dioxin	http://purl.obolibrary.org/obo/CHEBI_28119
2001-95-8	Mortality	Biobide	LEL	4dpf	death stage	UBERON_0000071	Valinomycin	http://purl.obolibrary.org/obo/CHEBI_28545
83-79-4	Mortality	Biobide	LEL	4dpf	death stage	UBERON_0000071	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
52918-63-5	Mortality	Biobide	LEL	4dpf	death stage	UBERON_0000071	Deltamethrin	http://purl.obolibrary.org/obo/CHEBI_4388
56-35-9	Mortality	Biobide	LEL	4dpf	death stage	UBERON_0000071	Bis(tributyltin)oxide	http://purl.obolibrary.org/obo/CHEBI_81543
115-09-3	Mortality	Biobide	LEL	4dpf	death stage	UBERON_0000071	Methylmercuric(II) chloride	http://purl.obolibrary.org/obo/CHEBI_28216
70-30-4	Mortality	Biobide	LEL	4dpf	death stage	UBERON_0000071	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
79-94-7	Mortality	Biobide	LEL	4dpf	death stage	UBERON_0000071	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
55406-53-6	Mortality	Biobide	LEL	4dpf	death stage	UBERON_0000071	3-Iodo-2-propynyl-N-butylcarbamate	http://purl.obolibrary.org/obo/CHEBI_83279
2465-27-2	Mortality	Biobide	LEL	4dpf	death stage	UBERON_0000071	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
